suburb,property_type,street_address,title,price_min,price_max,bedrooms,bathrooms,parking_spaces,land_size_sqm,internal_size_sqm,renovation_status,development_zone,real_estate_agency,sales_agent,agent_phone,listing_url_domain,listing_url_rea,listing_status,scraped_date,notes
Camperdown,apartment,"3/119-135 Church Street, Camperdown",,1120000,1120000,,,,,,,,,,,https://www.domain.com.au/property-profile,,for_sale,15/04/2026,
Newtown,house,"86 Wells Street, Newtown",,1400000,1400000,,,,,,,,,,,https://www.domain.com.au/property-profile,,for_sale,15/04/2026,
Newtown,house,"51 O'Connell Street, Newtown",,1700000,1750000,,,,,,,,,,,https://www.domain.com.au/property-profile,,for_sale,15/04/2026,
Mosman,house,"22A Upper Avenue, Mosman",,3500000,3500000,,,,,,,,,,,https://www.domain.com.au/property-profile,,for_sale,15/04/2026,
Mosman,house,"34 Somerset Street, Mosman",,5400000,540000,,,,,,,,,,,https://www.domain.com.au/property-profile,,for_sale,15/04/2026,
Mosman,apartment,"72/6 Hale Road, Mosman",,2950000,2950000,,,,,,,,,,,https://www.domain.com.au/property-profile,,for_sale,15/04/2026,
Chatswood,house,"15 Reid Drive, Chatswood",,3800000,4000000,,,,,,,,,,,https://www.domain.com.au/property-profile,,for_sale,15/04/2026,
Chatswood,house,"5 Spencer Place, Chatswood",,3250000,3250000,,,,,,,,,,,https://www.domain.com.au/property-profile,,for_sale,15/04/2026,
Marrickville,house,"14 Ivanhoe Street, Marrickville",,1700000,1700000,,,,,,,,,,,https://www.domain.com.au/property-profile,,for_sale,15/04/2026,
Marrickville,house,"125 Addison Road, Marrickville",,1900000,1900000,,,,,,,,,,,https://www.domain.com.au/property-profile,,for_sale,15/04/2026,
Marrickville,apartment,"209/178 Livingstone Road, Marrickville",,2300000,2300000,,,,,,,,,,,https://www.domain.com.au/property-profile,,for_sale,15/04/2026,
Marrickville,apartment,"18/387-393 Marrickville Road, Marrickville",,950000,950000,,,,,,,,,,,https://www.domain.com.au/property-profile,,for_sale,15/04/2026,
Leichhardt,house,"8 Excelsior Street, Leichhardt",,1795000,1795000,,,,,,,,,,,https://www.domain.com.au/property-profile,,for_sale,15/04/2026,
Leichhardt,house,"93 Flood Street, Leichhardt",,1795000,1795000,,,,,,,,,,,https://www.domain.com.au/property-profile,,for_sale,15/04/2026,
Leichhardt,apartment,"203/22B George Street, Leichhardt",,990000,1040000,,,,,,,,,,,https://www.domain.com.au/property-profile,,for_sale,15/04/2026,
Randwick,house,"225B Rainbow Street, Randwick",,3175000,3175000,,,,,,,,,,,https://www.domain.com.au/property-profile,,for_sale,15/04/2026,
Randwick,house,"32 Alison Road, Randwick",,1980000,1980000,,,,,,,,,,,https://www.domain.com.au/property-profile,,for_sale,15/04/2026,
Randwick,apartment,"306/16 Roscrea Avenue, Randwick",,1365000,1365000,,,,,,,,,,,https://www.domain.com.au/property-profile,,for_sale,15/04/2026,
Randwick,apartment,"1/55 Perouse Road, Randwick",,1800000,1850000,,,,,,,,,,,https://www.domain.com.au/property-profile,,for_sale,15/04/2026,
Maroubra,house,"11a Shepherd Street, Maroubra",,2750000,2750000,,,,,,,,,,,https://www.domain.com.au/property-profile,,for_sale,15/04/2026,
